time,value
2024-09-27T12:15:59.104711559Z,27.8125
2024-09-27T12:16:10.080266688Z,30.8125
2024-09-27T12:16:19.764061867Z,32.3125
2024-09-27T12:16:32.085195331Z,32.625
2024-09-27T12:16:42.285570056Z,33.0625
2024-09-27T12:16:53.573411022Z,33.1875
2024-09-27T12:17:04.82824886Z,33.4375
2024-09-27T12:17:14.821608478Z,33.5
2024-09-27T12:17:24.808147856Z,33.5625
2024-09-27T12:17:34.828591609Z,33.0625
2024-09-27T12:17:44.813549638Z,32
2024-09-27T12:17:55.148159967Z,31.1875
2024-09-27T12:18:11.109388899Z,31
2024-09-27T12:18:15.496969642Z,30.5
2024-09-27T12:18:25.502286287Z,30.125
2024-09-27T12:18:37.093469924Z,32.25
2024-09-27T12:18:45.510908094Z,33.0625
2024-09-27T12:18:58.57670244Z,33.4375
2024-09-27T12:19:07.922724556Z,33.1875
2024-09-27T12:19:19.194424799Z,32.9375
2024-09-27T12:19:32.076564856Z,32.75
2024-09-27T12:19:44.556266255Z,32.625
2024-09-27T12:19:52.970594376Z,33.3125
2024-09-27T12:20:06.597819884Z,32.5625
2024-09-27T12:20:21.104368763Z,31.9375
2024-09-27T12:20:26.765109151Z,31.3125
2024-09-27T12:20:38.025162775Z,31.1875
2024-09-27T12:20:49.292472924Z,31.125
2024-09-27T12:21:00.562380213Z,31.125
2024-09-27T12:21:11.803277304Z,31.1875
2024-09-27T12:21:24.623564277Z,32.1875
2024-09-27T12:21:34.352960852Z,32.6875
2024-09-27T12:21:45.620513675Z,32.9375
2024-09-27T12:21:56.872088467Z,33.1875
2024-09-27T12:22:08.124815603Z,33.3125
2024-09-27T12:22:18.123580165Z,33.3125
2024-09-27T12:22:28.136284214Z,33.4375
2024-09-27T12:22:38.133466168Z,33.5
2024-09-27T12:22:48.13320633Z,33.5625
2024-09-27T12:22:58.444454019Z,33.6875
2024-09-27T12:23:14.580789514Z,33.6875
2024-09-27T12:23:18.77179687Z,33.75
2024-09-27T12:23:30.093005353Z,33.8125
2024-09-27T12:23:38.767183186Z,33.8125
2024-09-27T12:23:48.79551687Z,33.625
2024-09-27T12:24:02.092194661Z,32.5
2024-09-27T12:24:11.245883767Z,31.625
2024-09-27T12:24:22.4781242Z,30.9375
2024-09-27T12:24:33.758702152Z,30.375
2024-09-27T12:24:46.616210743Z,29.75
2024-09-27T12:24:56.250243714Z,29.25
2024-09-27T12:25:07.517807091Z,28.8125
2024-09-27T12:25:21.089177858Z,28.375
2024-09-27T12:25:30.084165637Z,27.9375
2024-09-27T12:25:41.320643788Z,27.5625
2024-09-27T12:25:52.652278993Z,27.25
2024-09-27T12:26:03.865412885Z,26.9375
2024-09-27T12:26:15.149735218Z,26.625
2024-09-27T12:26:26.387661136Z,26.375
2024-09-27T12:26:37.6928411Z,26.0625
2024-09-27T12:26:48.921259603Z,25.8125
2024-09-27T12:27:00.193446454Z,25.625
2024-09-27T12:27:11.433239371Z,25.375
2024-09-27T12:27:22.689253841Z,25.1875
2024-09-27T12:27:35.113378279Z,25
2024-09-27T12:27:46.69692436Z,24.75
2024-09-27T12:27:56.453772403Z,24.625
2024-09-27T12:28:07.726447531Z,24.5
2024-09-27T12:28:19.021381826Z,24.3125
2024-09-27T12:28:32.122023852Z,24.1875
2024-09-27T12:28:41.514205881Z,24.0625
2024-09-27T12:28:54.606797421Z,23.9375
2024-09-27T12:29:04.025837582Z,23.8125
2024-09-27T12:29:17.610648903Z,23.6875
2024-09-27T12:29:26.526111716Z,23.625
2024-09-27T12:29:37.785411652Z,23.5625
2024-09-27T12:29:49.045871876Z,23.4375
2024-09-27T12:30:00.326524269Z,23.375
2024-09-27T12:30:11.557989555Z,23.25
2024-09-27T12:30:22.845677323Z,23.25
2024-09-27T12:30:35.598175716Z,23.125
2024-09-27T12:30:47.094048815Z,23.125
